Event	ID	Name			Wwise Object Path	Notes
	778438783	PropulsorBounce			\Default Work Unit\Lvl_1\SFX_Lvl_1\PropulsorBounce	
	857272499	AmbFire			\Default Work Unit\Lvl_1\SFX_Lvl_1\AmbFire	
	2773708536	AmbAcidStream			\Default Work Unit\Lvl_1\SFX_Lvl_1\AmbAcidStream	
	3640817996	AmbAcidPipe			\Default Work Unit\Lvl_1\SFX_Lvl_1\AmbAcidPipe	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	24105696	PropulsorBounce_004	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\DF\{DF1864D3-D88A-F502-A7E3-A2A641D50C7F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\SFX\PropulsorBounce\PropulsorBounce_004		331196
	61881615	PropulsorBounce_002	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\90\{908F22A0-8D5E-0B8A-F5A4-C7689E450D8B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\SFX\PropulsorBounce\PropulsorBounce_002		331200
	72582532	AmbAcidPipesImpacts1_016	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\06\{060C004B-6585-C929-5CB2-4A08D295D74F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts1\AmbAcidPipesImpacts1_016		827192
	85868107	AmbAcidPipesImpacts2_005	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\B6\{B6765522-C117-82DE-4768-D8692C1236C8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts2\AmbAcidPipesImpacts2_005		1088596
	127360776	AmbAcidPipesImpacts2_029	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\75\{755F17D5-FBCA-9813-6B91-9AAB9713F9C6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts2\AmbAcidPipesImpacts2_029		998384
	139303241	AmbAcidPipesImpacts2_016	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\3E\{3EF68666-9A94-FFCD-6C39-886803A6AC90}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts2\AmbAcidPipesImpacts2_016		1201516
	150925605	AmbAcidPipesImpacts1_020	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\28\{285BBBDE-63A1-7E15-05C0-21AA148203CC}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts1\AmbAcidPipesImpacts1_020		785944
	164027548	AmbAcidPipesImpacts2_025	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\07\{071B343A-6161-35C0-39DF-F23974E5B7D1}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts2\AmbAcidPipesImpacts2_025		894204
	176133664	AmbAcidPipesImpacts1_008	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\58\{580CF9B1-3455-1C16-5E55-66D048E35A44}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts1\AmbAcidPipesImpacts1_008		894288
	189852758	AmbAcidPipesImpacts1_013	C:\Unity\TSDV-ProduccionDeVideojuegosV-Project\TSDV-ProduccionDeVideojuegosV-Project_WwiseProject\.cache\78\{78ED371B-6319-314F-3159-E694F2077F71}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lvl_1\Ambs\AmbAcidPipesSum\AmbAcidPipesImpacts1\AmbAcidPipesImpacts1_013		786176
